grammar	domain	true_coding_priority	observed_frame_lane	current_artifact_family	latest_overlay_status	next_generalized_machinery_target	evidence_path	selected_file	stop_reason	truncated	comparison_result	root_pair	diff_types	notes
cpp	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	post-retry reports migrate C++ from runtime frontier to accepted/non-truncated recovery-shape evidence; parity still residual	recovery_shape_and_materialization_after_generalized_retry	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-000/measure-cpp-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/cpp/include/fmt/args.h	no_stacks_alive	true	diverge			programming language
hurl	config_build	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-000/measure-hurl-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/hurl/contrib/emacs/test-syntax.hurl	no_stacks_alive	true	diverge			HTTP test/config DSL
nginx	config_build	no	accepted_shape_materialization/accepted_diverge	accepted_divergence_cost;accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-000/measure-nginx-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/nginx/worker/nginx.conf	accepted	false	diverge			server configuration
fennel	true_programming_language	high	accepted_shape_materialization/accepted_diverge	accepted_divergence_cost;accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-001/measure-fennel-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/fennel/build/manfilter.fnl	accepted	false	diverge			programming language
robot	config_build	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-001/measure-robot-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/robot/atest/resources/atest_resource.robot	no_stacks_alive	true	diverge			test automation DSL
uxntal	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-001/measure-uxntal-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/uxntal/projects/examples/blank.tal	no_stacks_alive	true	diverge			assembly language
cuda	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	post-retry and scoped-first reports migrate CUDA from runtime frontier to accepted/non-truncated recovery-shape/materialization evidence	scoped_c_recovery_selection_and_materialization	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-004/measure-cuda-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/cuda/cpp/0_Introduction/UnifiedMemoryStreams/UnifiedMemoryStreams.cu	no_stacks_alive	true	diverge			programming language
asm	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-005/measure-asm-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/asm/arch/arc/cpu/arcv1/ivt.S	no_stacks_alive	true	diverge			assembly language
norg	prose_docs	no	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-005/measure-norg-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/norg/doc/cheatsheet.norg	no_stacks_alive	true	diverge			documentation markup
vimdoc	prose_docs	no	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-005/measure-vimdoc-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/vimdoc/CMakeLists.txt	no_stacks_alive	true	diverge			documentation format
cylc	config_build	no	accepted_shape_materialization/accepted_diverge	accepted_divergence_cost;accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-006/measure-cylc-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/cylc/cylc/flow/etc/examples/1-hello-world/flow.cylc	accepted	false	diverge			workflow configuration
jinja2	markup_template_style	no	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-006/measure-jinja2-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/jinja2/lib/ansible/galaxy/data/apb/Dockerfile.j2	no_stacks_alive	true	diverge			template language
nushell	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-006/measure-nushell-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/nushell/.github/workflows/check-msrv.nu	no_stacks_alive	false	diverge			shell/programming language
scala	true_programming_language	high	runtime_frontier_stop/iteration_limit	runtime_frontier_stop	frame witness cleared under forest; forest N=40 remains residual at 29/40 parity with 3 comparison go_no_tree cases, 6 accepted/no-error span divergences, and 2 accepted/no-error root child-count divergences; case-clause span residual is attributed to existing Scala result-normalizer behavior and excluded as an implementation target under the generalized-machinery-only policy	forest_materialization_and_comparison_residuals	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-006/measure-scala-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/scala/project/AutomaticModuleName.scala	iteration_limit	true	diverge			programming language
objc	true_programming_language	high	recovery_error_cost/error_tree_or_root_error	accepted_divergence_cost;recovery_error_cost	current_smoke_only	generalized_recovery_shape_and_cost	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-007/measure-objc-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/objc/Examples/custom-zone.m	accepted	false	diverge			programming language
wat	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-007/measure-wat-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/wat/test/harness/wasm2c/stdin_file.wast	no_stacks_alive	true	diverge			WebAssembly text format
fsharp	true_programming_language	high	accepted_shape_materialization/accepted_diverge	accepted_divergence_cost;accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-008/measure-fsharp-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/fsharp/.github/skills/fsharp-diagnostics/server/DesignTimeBuild.fs	accepted	false	diverge			programming language
scss	markup_template_style	no	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-008/measure-scss-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/scss/scss/_accordion.scss	no_stacks_alive	true	diverge			stylesheet language
odin	true_programming_language	high	recovery_error_cost/error_tree_or_root_error	accepted_divergence_cost;recovery_error_cost	current_smoke_only	generalized_recovery_shape_and_cost	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-009/measure-odin-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/odin/base/builtin/builtin.odin	accepted	false	diverge			programming language
wolfram	true_programming_language	high	recovery_error_cost/error_tree_or_root_error	accepted_divergence_cost;recovery_error_cost	current_smoke_only	generalized_recovery_shape_and_cost	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-009/measure-wolfram-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/wolfram/WolframLanguageForJupyter/Kernel/init.m	accepted	false	diverge			programming language
pascal	true_programming_language	high	recovery_error_cost/error_tree_or_root_error	accepted_divergence_cost;recovery_error_cost	current_smoke_only	generalized_recovery_shape_and_cost	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-011/measure-pascal-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/pascal/compiler/aarch64/a64att.inc	accepted	false	diverge			programming language
sql	query_policy	no	recovery_error_cost/error_tree_or_root_error	recovery_error_cost	current_smoke_only	generalized_recovery_shape_and_cost	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-012/measure-sql-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/sql/contrib/amcheck/amcheck--1.0--1.1.sql	accepted	false	diverge			query language
disassembly	true_programming_language	high	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-013/measure-disassembly-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/disassembly/microrv32/sw/basic-minimal/code.dump	no_stacks_alive	false	diverge			assembly/disassembly syntax
just	config_build	no	accepted_shape_materialization/accepted_diverge	accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-013/measure-just-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/just/examples/cross-platform.just	accepted	false	diverge			build/task file
perl	true_programming_language	high	accepted_shape_materialization/accepted_diverge	accepted_divergence_cost;accepted_shape_materialization	current_smoke_only	generalized_materialization_invariant	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-013/measure-perl-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/perl/Porting/Maintainers.pl	accepted	false	diverge			programming language
djot	prose_docs	no	runtime_frontier_stop/node_limit	runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-014/measure-djot-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/djot/case-studies/strand.djot	node_limit	true	diverge			documentation markup
kconfig	config_build	no	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-014/measure-kconfig-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/kconfig/Kconfig	no_stacks_alive	true	diverge			kernel configuration language
blade	markup_template_style	no	runtime_frontier_stop/no_stacks_alive	recovery_error_cost;runtime_frontier_stop	current_smoke_only	glr_frontier_survival_and_reuse_selection	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-015/measure-blade-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/blade/src/Illuminate/Foundation/Exceptions/views/401.blade.php	no_stacks_alive	true	diverge			template language
dockerfile	config_build	no	recovery_error_cost/error_tree_or_root_error	accepted_divergence_cost;recovery_error_cost	current_smoke_only	generalized_recovery_shape_and_cost	/home/draco/work/gotreesitter-build-baseline/cgo_harness/harness_out/tier_scan_parallel/current-206-smoke-20260625/workers/shard-015/measure-dockerfile-external-frame-0001.log	/home/draco/work/gotreesitter-corpora/corpus_sources/dockerfile/3.10/alpine3.22/Dockerfile	accepted	false	diverge			container build file
